"empresa","ano","ativo_total","passivo_total","patrimonio_liquido"
AMERICANAS S.A. - EM RECUPERAÇĂO JUDICIAL,2022-12-31,68810434.00,68810434.00,-39288522.00
GRUPO CASAS BAHIA S.A.,2021-12-31,68396000.00,68396000.00,11616000.00
AMERICANAS S.A. - EM RECUPERAÇĂO JUDICIAL,2021-12-31,67125587.00,67125587.00,25396682.00
GRUPO CASAS BAHIA S.A.,2022-12-31,70914000.00,70914000.00,10921000.00
LOJAS RENNER S.A.,2022-12-31,42560877.00,42560877.00,19894136.00
MAGAZINE LUIZA S.A.,2022-12-31,76150461.00,76150461.00,21909932.00
MAGAZINE LUIZA S.A.,2023-12-31,75220912.00,75220912.00,20259235.00
MAGAZINE LUIZA S.A.,2021-12-31,63031819.00,63031819.00,18586518.00
GRUPO CASAS BAHIA S.A.,2023-12-31,67570000.00,67570000.00,8738000.00
LOJAS RENNER S.A.,2021-12-31,36054568.00,36054568.00,15307937.00
AMERICANAS S.A. - EM RECUPERAÇĂO JUDICIAL,2023-12-31,58987000.00,58987000.00,-55520000.00
LOJAS RENNER S.A.,2023-12-31,41639530.00,41639530.00,20134736.00
