"empresa","ano","caixa_operacional"
AMERICANAS S.A. - EM RECUPERAÇĂO JUDICIAL,2022-12-31,-8772119.00
GRUPO CASAS BAHIA S.A.,2021-12-31,-3103000.00
LOJAS RENNER S.A.,2022-12-31,2752065.00
MAGAZINE LUIZA S.A.,2022-12-31,-4506813.00
MAGAZINE LUIZA S.A.,2023-12-31,6418744.00
MAGAZINE LUIZA S.A.,2021-12-31,-1760594.00
GRUPO CASAS BAHIA S.A.,2023-12-31,7103000.00
LOJAS RENNER S.A.,2021-12-31,1823979.00
AMERICANAS S.A. - EM RECUPERAÇĂO JUDICIAL,2023-12-31,-6320000.00
AMERICANAS S.A. - EM RECUPERAÇĂO JUDICIAL,2021-12-31,-887417.00
LOJAS RENNER S.A.,2023-12-31,4199601.00
GRUPO CASAS BAHIA S.A.,2022-12-31,2777000.00
